,sex,income,region,age,question,answer
0,Male,Prefer not to answer,New England,18 - 29,1,Not at all worried
1,Male,"$75,000 to $99,999",East North Central,18 - 29,1,Somewhat worried
2,Male,"$10,000 to $24,999",Pacific,18 - 29,1,Not so worried
3,Male,"$25,000 to $49,999",West South Central,18 - 29,1,Not so worried
4,Male,"$200,000 and up",Middle Atlantic,18 - 29,1,Not so worried
5,Male,"$25,000 to $49,999",East North Central,18 - 29,1,Not at all worried
6,,,,,1,Very worried
7,Male,Prefer not to answer,South Atlantic,18 - 29,1,Not at all worried
8,Male,Prefer not to answer,East North Central,18 - 29,1,Not at all worried
9,Male,"$10,000 to $24,999",East North Central,18 - 29,1,Not at all worried
10,Male,"$50,000 to $74,999",West North Central,18 - 29,1,Not at all worried
11,Male,"$25,000 to $49,999",East South Central,18 - 29,1,Not at all worried
12,,,,,1,Extremely worried
13,Male,"$0 to $9,999",Pacific,18 - 29,1,Somewhat worried
14,Male,"$100,000 to $124,999",New England,18 - 29,1,Not so worried
15,Male,"$50,000 to $74,999",East North Central,18 - 29,1,Not so worried
16,Male,"$25,000 to $49,999",East North Central,18 - 29,1,Not at all worried
17,Male,"$75,000 to $99,999",East North Central,18 - 29,1,Not so worried
18,Male,"$25,000 to $49,999",Pacific,30 - 44,1,Not so worried
19,Male,"$10,000 to $24,999",Pacific,30 - 44,1,Very worried
20,Male,"$50,000 to $74,999",Mountain,18 - 29,1,Not at all worried
21,Male,"$75,000 to $99,999",South Atlantic,30 - 44,1,Not at all worried
22,Male,"$50,000 to $74,999",Middle Atlantic,18 - 29,1,Not at all worried
23,Male,"$75,000 to $99,999",Middle Atlantic,18 - 29,1,Not so worried
24,Male,"$25,000 to $49,999",East North Central,30 - 44,1,Not at all worried
25,Male,"$10,000 to $24,999",,18 - 29,1,Extremely worried
26,Male,"$75,000 to $99,999",East North Central,30 - 44,1,Not at all worried
27,Male,"$75,000 to $99,999",Middle Atlantic,30 - 44,1,Not at all worried
28,Male,"$25,000 to $49,999",East North Central,30 - 44,1,Somewhat worried
29,Male,"$25,000 to $49,999",South Atlantic,18 - 29,1,Not so worried
30,Male,"$25,000 to $49,999",East North Central,18 - 29,1,Not so worried
31,Male,"$0 to $9,999",East North Central,18 - 29,1,Somewhat worried
32,Male,"$25,000 to $49,999",,30 - 44,1,Not at all worried
33,Male,"$10,000 to $24,999",,18 - 29,1,Not so worried
34,Male,"$100,000 to $124,999",East South Central,30 - 44,1,Somewhat worried
35,Male,"$10,000 to $24,999",Pacific,18 - 29,1,Not at all worried
36,Male,"$175,000 to $199,999",New England,18 - 29,1,Not at all worried
37,Male,"$0 to $9,999",West North Central,18 - 29,1,Not at all worried
38,Male,"$125,000 to $149,999",Pacific,18 - 29,1,Somewhat worried
39,Male,"$75,000 to $99,999",East North Central,30 - 44,1,Not at all worried
40,Male,"$25,000 to $49,999",,30 - 44,1,Somewhat worried
41,Male,"$100,000 to $124,999",Mountain,18 - 29,1,Not at all worried
42,Male,"$50,000 to $74,999",Pacific,45 - 59,1,Not so worried
43,Male,"$10,000 to $24,999",Pacific,45 - 59,1,Very worried
44,Male,"$50,000 to $74,999",Pacific,18 - 29,1,Somewhat worried
45,Male,"$0 to $9,999",Pacific,18 - 29,1,Not at all worried
46,Male,"$0 to $9,999",West South Central,18 - 29,1,Not so worried
47,Male,"$200,000 and up",Mountain,30 - 44,1,Extremely worried
48,Male,"$75,000 to $99,999",South Atlantic,18 - 29,1,Not at all worried
49,Male,"$150,000 to $174,999",Middle Atlantic,30 - 44,1,Somewhat worried
50,Male,"$10,000 to $24,999",Middle Atlantic,45 - 59,1,Somewhat worried
51,Male,"$200,000 and up",Pacific,45 - 59,1,Somewhat worried
52,Male,"$10,000 to $24,999",West North Central,30 - 44,1,Not at all worried
53,Male,"$50,000 to $74,999",East South Central,45 - 59,1,Not at all worried
54,Male,"$0 to $9,999",East North Central,30 - 44,1,Not so worried
55,Male,"$75,000 to $99,999",East North Central,30 - 44,1,Extremely worried
56,Male,Prefer not to answer,Pacific,45 - 59,1,Very worried
57,Male,Prefer not to answer,West North Central,30 - 44,1,Not so worried
58,Male,Prefer not to answer,Pacific,18 - 29,1,Very worried
59,Male,"$50,000 to $74,999",West South Central,45 - 59,1,Not so worried
60,Male,"$200,000 and up",Pacific,45 - 59,1,Not so worried
61,Male,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
62,Male,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
63,Male,"$100,000 to $124,999",Pacific,45 - 59,1,Somewhat worried
64,Male,Prefer not to answer,Pacific,18 - 29,1,Not at all worried
65,Male,"$125,000 to $149,999",Pacific,45 - 59,1,Not so worried
66,Male,"$25,000 to $49,999",Pacific,30 - 44,1,Not so worried
67,Male,Prefer not to answer,Pacific,18 - 29,1,Very worried
68,Male,"$75,000 to $99,999",Pacific,45 - 59,1,Somewhat worried
69,Male,Prefer not to answer,Pacific,18 - 29,1,Not so worried
70,Male,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
71,Male,Prefer not to answer,Pacific,18 - 29,1,Extremely worried
72,Male,"$25,000 to $49,999",Pacific,18 - 29,1,Very worried
73,Male,"$25,000 to $49,999",Pacific,18 - 29,1,Not so worried
74,Male,Prefer not to answer,Pacific,30 - 44,1,Somewhat worried
75,Male,Prefer not to answer,Pacific,45 - 59,1,Somewhat worried
76,Male,"$50,000 to $74,999",South Atlantic,45 - 59,1,Not at all worried
77,Male,"$10,000 to $24,999",Pacific,30 - 44,1,Somewhat worried
78,Male,"$0 to $9,999",West North Central,18 - 29,1,Very worried
79,Male,"$0 to $9,999",West North Central,18 - 29,1,Not at all worried
80,Male,"$25,000 to $49,999",West North Central,30 - 44,1,Not at all worried
81,Male,"$10,000 to $24,999",East South Central,30 - 44,1,Extremely worried
82,Male,"$100,000 to $124,999",Pacific,18 - 29,1,Somewhat worried
83,Male,Prefer not to answer,Pacific,45 - 59,1,Not so worried
84,Male,"$10,000 to $24,999",Middle Atlantic,30 - 44,1,Extremely worried
85,Male,"$200,000 and up",Pacific,45 - 59,1,Somewhat worried
86,Male,"$50,000 to $74,999",Pacific,30 - 44,1,Not so worried
87,Male,"$0 to $9,999",,18 - 29,1,Not so worried
88,Male,Prefer not to answer,West South Central,30 - 44,1,Extremely worried
89,Male,Prefer not to answer,South Atlantic,45 - 59,1,Not so worried
90,Male,"$10,000 to $24,999",,18 - 29,1,Somewhat worried
91,Male,"$200,000 and up",Pacific,30 - 44,1,Very worried
92,Male,"$125,000 to $149,999",Middle Atlantic,45 - 59,1,Not at all worried
93,Male,Prefer not to answer,East North Central,45 - 59,1,Extremely worried
94,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,1,Somewhat worried
95,Male,Prefer not to answer,Pacific,18 - 29,1,Not at all worried
96,Male,Prefer not to answer,Pacific,18 - 29,1,Not at all worried
97,Male,Prefer not to answer,South Atlantic,45 - 59,1,Not at all worried
98,Male,Prefer not to answer,Pacific,18 - 29,1,Somewhat worried
99,Male,"$0 to $9,999",Pacific,30 - 44,1,Somewhat worried
100,Male,"$10,000 to $24,999",South Atlantic,30 - 44,1,Somewhat worried
101,Male,"$0 to $9,999",East North Central,30 - 44,1,Not at all worried
102,Male,"$100,000 to $124,999",West South Central,45 - 59,1,Somewhat worried
103,Male,"$25,000 to $49,999",East South Central,18 - 29,1,Not at all worried
104,Male,"$25,000 to $49,999",Mountain,30 - 44,1,Not so worried
105,Male,"$50,000 to $74,999",West North Central,45 - 59,1,Very worried
106,Male,Prefer not to answer,Middle Atlantic,45 - 59,1,Not so worried
107,Male,"$10,000 to $24,999",South Atlantic,30 - 44,1,Not at all worried
108,Male,"$10,000 to $24,999",Middle Atlantic,30 - 44,1,Not so worried
109,Male,"$75,000 to $99,999",West South Central,30 - 44,1,Not at all worried
110,Male,"$100,000 to $124,999",South Atlantic,45 - 59,1,Not at all worried
111,Male,"$75,000 to $99,999",East North Central,30 - 44,1,Not so worried
112,Male,"$25,000 to $49,999",East South Central,45 - 59,1,Somewhat worried
113,Male,"$10,000 to $24,999",East North Central,45 - 59,1,Not so worried
114,Male,"$50,000 to $74,999",Pacific,45 - 59,1,Somewhat worried
115,Male,"$150,000 to $174,999",Pacific,45 - 59,1,Somewhat worried
116,Male,"$50,000 to $74,999",West North Central,18 - 29,1,Not at all worried
117,Male,"$75,000 to $99,999",Mountain,60,1,Not at all worried
118,Male,"$25,000 to $49,999",South Atlantic,30 - 44,1,Somewhat worried
119,Male,Prefer not to answer,Middle Atlantic,18 - 29,1,Extremely worried
120,Male,Prefer not to answer,East North Central,30 - 44,1,Not at all worried
121,Male,"$50,000 to $74,999",East South Central,30 - 44,1,Not so worried
122,Male,"$200,000 and up",Pacific,45 - 59,1,Somewhat worried
123,Male,"$125,000 to $149,999",West South Central,60,1,Not at all worried
124,Male,"$25,000 to $49,999",Pacific,60,1,Somewhat worried
125,Male,"$75,000 to $99,999",Pacific,30 - 44,1,Very worried
126,Male,"$50,000 to $74,999",Mountain,18 - 29,1,Somewhat worried
127,Male,"$100,000 to $124,999",East North Central,30 - 44,1,Somewhat worried
128,Male,"$50,000 to $74,999",West South Central,30 - 44,1,Not at all worried
129,Male,"$50,000 to $74,999",East North Central,30 - 44,1,Not at all worried
130,Male,"$0 to $9,999",South Atlantic,18 - 29,1,Not so worried
131,Male,"$0 to $9,999",South Atlantic,30 - 44,1,Not at all worried
132,Male,Prefer not to answer,West South Central,18 - 29,1,Not so worried
133,Male,"$0 to $9,999",Mountain,60,1,Not at all worried
134,Male,"$25,000 to $49,999",Pacific,60,1,Not so worried
135,Male,"$25,000 to $49,999",Middle Atlantic,18 - 29,1,Not at all worried
136,Male,"$50,000 to $74,999",Mountain,60,1,Not so worried
137,Male,"$25,000 to $49,999",Mountain,30 - 44,1,Not at all worried
138,Male,"$75,000 to $99,999",Mountain,60,1,Not so worried
139,Male,"$50,000 to $74,999",West North Central,60,1,Not at all worried
140,Male,"$0 to $9,999",West South Central,18 - 29,1,Extremely worried
141,Male,"$75,000 to $99,999",Pacific,60,1,Somewhat worried
142,Male,"$75,000 to $99,999",,18 - 29,1,Somewhat worried
143,Male,"$75,000 to $99,999",West North Central,45 - 59,1,Somewhat worried
144,Male,"$50,000 to $74,999",,30 - 44,1,Very worried
145,Male,"$75,000 to $99,999",Middle Atlantic,30 - 44,1,Not so worried
146,Male,"$100,000 to $124,999",Pacific,60,1,Very worried
