,age,sex,answer
2026,18 - 29,Male,No
2027,18 - 29,Male,No
2028,18 - 29,Male,No
2029,18 - 29,Male,No
2030,18 - 29,Male,Yes
2031,18 - 29,Male,No
2032,,,Yes
2033,18 - 29,Male,No
2034,18 - 29,Male,No
2035,18 - 29,Male,No
2036,18 - 29,Male,No
2037,18 - 29,Male,No
2038,,,Yes
2039,18 - 29,Male,Yes
2040,18 - 29,Male,No
2041,18 - 29,Male,Yes
2042,18 - 29,Male,No
2043,18 - 29,Male,Yes
2044,30 - 44,Male,Yes
2045,30 - 44,Male,Yes
2046,18 - 29,Male,No
2047,30 - 44,Male,No
2048,18 - 29,Male,No
2049,18 - 29,Male,Yes
2050,30 - 44,Male,Yes
2051,18 - 29,Male,No
2052,30 - 44,Male,No
2053,30 - 44,Male,No
2054,30 - 44,Male,No
2055,18 - 29,Male,No
2056,18 - 29,Male,Yes
2057,18 - 29,Male,No
2058,30 - 44,Male,Yes
2059,18 - 29,Male,Yes
2060,30 - 44,Male,Yes
2061,18 - 29,Male,No
2062,18 - 29,Male,No
2063,18 - 29,Male,Yes
2064,18 - 29,Male,Yes
2065,30 - 44,Male,No
2066,30 - 44,Male,Yes
2067,18 - 29,Male,No
2068,45 - 59,Male,Yes
2069,45 - 59,Male,Yes
2070,18 - 29,Male,Yes
2071,18 - 29,Male,Yes
2072,18 - 29,Male,Yes
2073,30 - 44,Male,Yes
2074,18 - 29,Male,No
2075,30 - 44,Male,Yes
2076,45 - 59,Male,Yes
2077,45 - 59,Male,Yes
2078,30 - 44,Male,No
2079,45 - 59,Male,No
2080,30 - 44,Male,No
2081,30 - 44,Male,No
2082,45 - 59,Male,No
2083,30 - 44,Male,No
2084,18 - 29,Male,No
2085,45 - 59,Male,Yes
2086,45 - 59,Male,No
2087,18 - 29,Male,No
2088,18 - 29,Male,Yes
2089,45 - 59,Male,Yes
2090,18 - 29,Male,No
2091,45 - 59,Male,No
2092,30 - 44,Male,No
2093,18 - 29,Male,No
2094,45 - 59,Male,Yes
2095,18 - 29,Male,Yes
2096,18 - 29,Male,No
2097,18 - 29,Male,Yes
2098,18 - 29,Male,Yes
2099,18 - 29,Male,No
2100,30 - 44,Male,No
2101,45 - 59,Male,Yes
2102,45 - 59,Male,No
2103,30 - 44,Male,Yes
2104,18 - 29,Male,Yes
2105,18 - 29,Male,No
2106,30 - 44,Male,No
2107,30 - 44,Male,Yes
2108,18 - 29,Male,Yes
2109,45 - 59,Male,Yes
2110,30 - 44,Male,Yes
2111,45 - 59,Male,Yes
2112,30 - 44,Male,Yes
2113,18 - 29,Male,Yes
2114,30 - 44,Male,Yes
2115,45 - 59,Male,No
2116,18 - 29,Male,No
2117,30 - 44,Male,Yes
2118,45 - 59,Male,No
2119,45 - 59,Male,No
2120,45 - 59,Male,Yes
2121,18 - 29,Male,No
2122,18 - 29,Male,No
2123,45 - 59,Male,No
2124,18 - 29,Male,Yes
2125,30 - 44,Male,No
2126,30 - 44,Male,No
2127,30 - 44,Male,No
2128,45 - 59,Male,Yes
2129,18 - 29,Male,No
2130,30 - 44,Male,Yes
2131,45 - 59,Male,Yes
2132,45 - 59,Male,Yes
2133,30 - 44,Male,Yes
2134,30 - 44,Male,Yes
2135,30 - 44,Male,Yes
2136,45 - 59,Male,Yes
2137,30 - 44,Male,Yes
2138,45 - 59,Male,Yes
2139,45 - 59,Male,Yes
2140,45 - 59,Male,No
2141,45 - 59,Male,No
2142,18 - 29,Male,No
2143,60,Male,No
2144,30 - 44,Male,Yes
2145,18 - 29,Male,Yes
2146,30 - 44,Male,Yes
2147,30 - 44,Male,No
2148,45 - 59,Male,Yes
2149,60,Male,Yes
2150,60,Male,Yes
2151,30 - 44,Male,No
2152,18 - 29,Male,Yes
2153,30 - 44,Male,No
2154,30 - 44,Male,No
2155,30 - 44,Male,No
2156,18 - 29,Male,Yes
2157,30 - 44,Male,No
2158,18 - 29,Male,No
2159,60,Male,No
2160,60,Male,No
2161,18 - 29,Male,No
2162,60,Male,No
2163,30 - 44,Male,Yes
2164,60,Male,Yes
2165,60,Male,No
2166,18 - 29,Male,Yes
2167,60,Male,No
2168,18 - 29,Male,Yes
2169,45 - 59,Male,No
2170,30 - 44,Male,Yes
2171,30 - 44,Male,Yes
2172,60,Male,Yes
2173,45 - 59,Male,No
2174,60,Male,Yes
2175,45 - 59,Male,No
2176,45 - 59,Male,Yes
2177,,,No
2178,30 - 44,Male,Yes
2179,30 - 44,Male,No
2180,60,Male,No
2181,30 - 44,Male,Yes
2182,60,Male,No
2183,45 - 59,Male,Yes
2184,60,Male,Yes
2185,18 - 29,Male,No
2186,30 - 44,Male,No
2187,45 - 59,Male,No
2188,,,No
2189,45 - 59,Male,No
2190,18 - 29,Male,No
2191,18 - 29,Male,Yes
2192,45 - 59,Male,No
2193,18 - 29,Male,No
2194,45 - 59,Male,Yes
2195,18 - 29,Male,No
2196,18 - 29,Male,Yes
2197,30 - 44,Male,Yes
2198,45 - 59,Male,No
2199,60,Male,Yes
2200,45 - 59,Male,No
2201,30 - 44,Male,No
2202,30 - 44,Male,No
2203,18 - 29,Male,No
2204,45 - 59,Male,Yes
2205,60,Male,Yes
2206,60,Male,No
2207,30 - 44,Male,No
2208,30 - 44,Male,Yes
2209,18 - 29,Male,Yes
2210,30 - 44,Male,No
2211,60,Male,No
2212,45 - 59,Male,No
2213,60,Male,Yes
2214,30 - 44,Male,No
2215,60,Male,No
2216,30 - 44,Male,No
2217,60,Male,Yes
2218,30 - 44,Male,Yes
2219,45 - 59,Male,No
2220,60,Female,Yes
2221,30 - 44,Male,Yes
2222,30 - 44,Male,Yes
2223,60,Female,Yes
2224,18 - 29,Male,No
2225,30 - 44,Male,Yes
2226,60,Female,No
2227,60,Female,Yes
2228,45 - 59,Male,No
2229,60,Male,Yes
2230,45 - 59,Male,No
2231,60,Male,Yes
2232,30 - 44,Male,No
2233,30 - 44,Male,No
2234,45 - 59,Male,Yes
2235,60,Female,No
2236,30 - 44,Male,No
2237,45 - 59,Male,Yes
2238,18 - 29,Female,No
2239,18 - 29,Female,No
2240,18 - 29,Female,Yes
2241,30 - 44,Male,Yes
2242,30 - 44,Male,No
2243,45 - 59,Male,Yes
2244,60,Female,Yes
2245,18 - 29,Female,Yes
